TransactionID,isFraud
3663549,0.0055024778
3663550,0.0022018745
3663551,0.058990806
3663552,0.0051538893
3663553,0.0008568309
3663554,0.0015296408
3663555,0.0061141606
3663556,0.031502616
3663557,0.0037288512
3663558,0.003440181
3663559,0.0013767056
3663560,0.0041166153
3663561,0.053260818
3663562,0.010385996
3663563,0.005096732
3663564,0.003916317
3663565,0.0043362137
3663566,0.010825861
3663567,0.0032136603
3663568,0.03073484
3663569,0.012672203
3663570,0.003143208
3663571,0.0032741728
3663572,0.0042818524
3663573,0.007671873
3663574,0.025075959
3663575,0.0029123512
3663576,0.10124549
3663577,0.008683047
3663578,0.010406257
3663579,0.022465235
3663580,0.0018872613
3663581,0.030543465
3663582,0.041001998
3663583,0.008717048
3663584,0.0031564839
3663585,0.33023214
3663586,0.070532516
3663587,0.01224646
3663588,0.00594492
3663589,0.014650907
3663590,0.0027795804
3663591,0.0009787038
3663592,0.01232116
3663593,0.0052120523
3663594,0.072550766
3663595,0.01055505
3663596,0.0004638561
3663597,0.005576143
3663598,0.020923361
3663599,0.0016974822
3663600,0.003246715
3663601,0.036626354
3663602,0.14237827
3663603,0.0025787177
3663604,0.0010156168
3663605,0.2690485
3663606,0.007013615
3663607,0.009736104
3663608,0.00068539596
3663609,0.0019832954
3663610,0.0065736687
3663611,0.0002320616
3663612,0.0009227611
3663613,0.0038688784
3663614,0.011529351
3663615,0.00088302733
3663616,0.0031824338
3663617,0.0024898127
3663618,0.0005920717
3663619,0.004389272
3663620,0.0022678
3663621,0.0041101887
3663622,0.017554682
3663623,0.0027332508
3663624,0.0077177375
3663625,0.0001805964
3663626,0.008911136
3663627,0.004218459
3663628,0.0026650184
3663629,0.013289229
3663630,0.002665481
3663631,0.0015392371
3663632,0.0022331465
3663633,0.005391324
3663634,0.0056814016
3663635,0.004148146
3663636,0.03820539
3663637,0.015761945
3663638,0.0017166603
3663639,0.014022739
3663640,0.0034599197
3663641,0.0021728892
3663642,0.0007317498
3663643,0.00078536733
3663644,0.0018920143
3663645,0.003157794
3663646,0.029382776
3663647,0.01973848
3663648,0.0015512392
3663649,0.0007760563
3663650,0.027876794
3663651,0.0004865674
3663652,0.0027566864
3663653,0.0012530533
3663654,0.0036584036
3663655,0.14010993
3663656,0.026254686
3663657,0.013445574
3663658,0.0012980205
3663659,0.00046584208
